pair_id,original_representation,complementary_representation,source_relative_path,pair_folder,knowledge_gap_relation,source_sha256,paired_copy_sha256
15,NeveuSchwarzRamondSectors,FermionBoundaryConditions,images/concepts/NeveuSchwarzRamondSectors.png,pairs/NeveuSchwarzRamondSectors,NeveuSchwarzRamondSectors requires FermionBoundaryConditions,1415c5f255774b6c859b36dfb700ef7f9cbf8c9b6dbe1bbc9ad0530fcc4f949b,1415c5f255774b6c859b36dfb700ef7f9cbf8c9b6dbe1bbc9ad0530fcc4f949b
16,GSOProjection,SpectrumConsistency,images/concepts/GSOProjection.png,pairs/GSOProjection,GSOProjection requires SpectrumConsistency,2df680178a65501485d9b3f898273e867364216ae441f387b7c77b7e014e173d,2df680178a65501485d9b3f898273e867364216ae441f387b7c77b7e014e173d
17,BRSTCohomology,PhysicalStateSelection,images/concepts/BRSTCohomology.png,pairs/BRSTCohomology,BRSTCohomology requires PhysicalStateSelection,e463c37b151a2f6ac776411648afa66b15ff0d2cd1e84eea811318e08f79dc9f,e463c37b151a2f6ac776411648afa66b15ff0d2cd1e84eea811318e08f79dc9f
18,CalabiYauCompactification,ExtraDimensionGeometry,images/concepts/CalabiYauCompactification.png,pairs/CalabiYauCompactification,CalabiYauCompactification requires ExtraDimensionGeometry,2b9508c90bde0c5e4d1afb48cd6dfbc22f3c16ef2396105837550e78d3b7fd04,2b9508c90bde0c5e4d1afb48cd6dfbc22f3c16ef2396105837550e78d3b7fd04
19,TDuality,MomentumWindingExchange,images/concepts/TDuality.png,pairs/TDuality,TDuality requires MomentumWindingExchange,be831499ab7c59a8e47367c7c64fb18a6d7b19c981956aa7241e8e83e45ae01f,be831499ab7c59a8e47367c7c64fb18a6d7b19c981956aa7241e8e83e45ae01f
20,DBranes,OpenStringEndpoints,images/concepts/DBranes.png,pairs/DBranes,DBranes requires OpenStringEndpoints,066dc1c3d0bf8021b3fe61d514b30bda05e729d724db31d2840a971419618b48,066dc1c3d0bf8021b3fe61d514b30bda05e729d724db31d2840a971419618b48
21,ChamberField,RegionalBoundaryStructure,images/canonical_sources/ChamberField.png,pairs/ChamberField,ChamberField requires RegionalBoundaryStructure,bff4746b871e87bb0f34bc27863f6f2dedeb37abaeb349f71541bf7c15d1c902,bff4746b871e87bb0f34bc27863f6f2dedeb37abaeb349f71541bf7c15d1c902
22,ConnectionGraph,AdjacencyStructure,images/canonical_sources/ConnectionGraph.png,pairs/ConnectionGraph,ConnectionGraph requires AdjacencyStructure,5e5dfc92f31224e0591474d08bf4918678b152897881d4e874dbcb1740b782a5,5e5dfc92f31224e0591474d08bf4918678b152897881d4e874dbcb1740b782a5
23,DefectTopology,TopologicalCharge,images/canonical_sources/DefectTopology.png,pairs/DefectTopology,DefectTopology requires TopologicalCharge,4af430080bf3bb44c9399de856faa044e9444b76e6019970162e8de03c2781ef,4af430080bf3bb44c9399de856faa044e9444b76e6019970162e8de03c2781ef
24,FuchsianTiling,HyperbolicSymmetry,images/canonical_sources/FuchsianTiling.png,pairs/FuchsianTiling,FuchsianTiling requires HyperbolicSymmetry,d55681723873b81fe7f558235072d4da3364db2e52872dbc0629596547157d12,d55681723873b81fe7f558235072d4da3364db2e52872dbc0629596547157d12
25,GeodesicTrajectories,CurvedSpacePaths,images/canonical_sources/GeodesicTrajectories.png,pairs/GeodesicTrajectories,GeodesicTrajectories requires CurvedSpacePaths,0b08e19d02ebf65d404118d6c14917f399b596d7d084794fcd3b3af04230bb1d,0b08e19d02ebf65d404118d6c14917f399b596d7d084794fcd3b3af04230bb1d
26,GinibreField,SpectralRepulsion,images/canonical_sources/GinibreField.png,pairs/GinibreField,GinibreField requires SpectralRepulsion,67f48d96a37e957e945dacc06b4751677f1418a5c548bf9536818af1a4247a0c,67f48d96a37e957e945dacc06b4751677f1418a5c548bf9536818af1a4247a0c
27,SpectralPalette,ModeEnergyEncoding,images/canonical_sources/SpectralPalette.png,pairs/SpectralPalette,SpectralPalette requires ModeEnergyEncoding,1674b53ae291327611a948c61f30b1da61ceeea323108d59ec1ee78b2414af26,1674b53ae291327611a948c61f30b1da61ceeea323108d59ec1ee78b2414af26
28,StreamlineField,DirectionalFlow,images/canonical_sources/StreamlineField.png,pairs/StreamlineField,StreamlineField requires DirectionalFlow,bd6cda632a93de4a0fe9ce5e1379c56e582d45af6fd0f8a621f0beb27581b656,bd6cda632a93de4a0fe9ce5e1379c56e582d45af6fd0f8a621f0beb27581b656
29,ConceptRelations,KnowledgeNeighborhood,images/symbol_system/ConceptRelations.png,pairs/ConceptRelations,ConceptRelations requires KnowledgeNeighborhood,57ae02a5e4317336b81a7b122f0825f8058332980ed712fe5be8a59f34b4eab7,57ae02a5e4317336b81a7b122f0825f8058332980ed712fe5be8a59f34b4eab7
30,HumanNotationCalibration,SymbolMeaningBinding,images/symbol_system/HumanNotationCalibration.png,pairs/HumanNotationCalibration,HumanNotationCalibration requires SymbolMeaningBinding,d6fe72fad3dd5c87726264967d1f1d23e25bda9243479fe8ca0dd0ae74bdc9d9,d6fe72fad3dd5c87726264967d1f1d23e25bda9243479fe8ca0dd0ae74bdc9d9
